SaleID,price
200000,2105.195
200001,2853.0977
200002,1911.4613
200003,2903.523
200004,2783.9163
200005,2360.759
200006,1703.7471
200007,2529.191
200008,1891.9193
200009,1818.7928
200010,2181.8286
200011,2282.6143
200012,2707.618
200013,1899.7272
200014,2917.9573
200015,1308.7407
200016,2696.3027
200017,1966.0244
200018,1857.9547
200019,1397.8145
200020,3046.3162
200021,1559.9158
200022,2547.852
200023,2965.8594
200024,2309.654
200025,1899.7272
200026,2342.968
200027,1947.8518
200028,2004.6786
200029,2173.4417
200030,2014.3798
200031,1908.8522
200032,1716.4756
200033,2032.9133
200034,1654.2388
200035,2896.4238
200036,2806.496
200037,2187.347
200038,2125.9412
200039,1646.7985
200040,2267.259
200041,1950.2322
200042,1211.1011
200043,2038.8793
200044,2054.1855
200045,1668.5789
200046,1904.4099
200047,1549.1825
200048,1769.7108
200049,1980.8867
200050,1444.3154
200051,2729.7554
200052,2876.8818
200053,1727.5953
200054,3038.0454
200055,1878.0898
200056,1920.1688
200057,2497.8035
200058,2552.0276
200059,2979.6614
200060,2006.2362
200061,1750.9128
200062,2085.0552
200063,1623.6312
200064,1833.4159
200065,1855.054
200066,2268.4915
200067,1930.6902
200068,1339.8339
200069,1637.0798
200070,2763.0542
200071,1046.2506
200072,2767.4966
200073,1501.7903
200074,2774.269
200075,1930.6902
200076,2784.7085
200077,1021.7692
200078,1325.4636
200079,2933.8616
200080,2960.4717
200081,2948.3003
200082,2475.0383
200083,1361.1011
200084,2140.275
200085,2747.612
200086,1987.5967
200087,2121.017
200088,2305.0168
200089,3133.1426
200090,2203.143
200091,829.28625
200092,2019.4463
200093,2003.4506
200094,1665.9849
200095,2787.0386
200096,2675.899
200097,2767.3289
200098,1610.1477
200099,2016.9547
200100,1467.2307
200101,1947.8518
200102,2896.4238
200103,2085.1484
200104,2929.8691
200105,2173.4417
200106,2078.6667
200107,2793.2412
200108,1964.5641
200109,2928.0054
200110,2903.523
200111,2948.7378
200112,2960.4717
200113,1699.2213
200114,1849.1947
200115,1971.6866
200116,1947.8518
200117,2758.3713
200118,2796.463
200119,1488.6654
200120,2325.315
200121,1553.3479
200122,1802.7915
200123,2203.143
200124,3119.8037
200125,2008.7095
200126,1692.1691
200127,1930.6902
200128,2117.7424
200129,2767.4966
200130,2943.2136
200131,2837.2727
200132,2943.377
200133,1849.1947
200134,3008.745
200135,2790.5212
200136,2787.0386
200137,2998.2979
200138,1928.3942
200139,1974.312
200140,2838.5947
200141,2159.817
200142,2815.985
200143,2001.6992
200144,2847.2383
200145,1904.4099
200146,2875.1567
200147,2807.8254
200148,2975.8955
200149,1697.1138
200150,2806.496
200151,1928.3942
200152,2290.431
200153,1727.5953
200154,1956.8501
200155,2305.0168
200156,2786.954
200157,3126.014
200158,1911.4613
200159,2471.5933
200160,1705.2102
200161,1987.5967
200162,2078.6667
200163,2160.822
200164,1928.3942
200165,1693.3394
200166,2769.1174
200167,2196.9133
200168,2131.17
200169,2853.0977
200170,2542.4756
200171,2786.954
200172,1855.054
200173,4129.954
200174,2890.7898
200175,2661.2358
200176,1904.4099
200177,2979.6614
200178,1947.8518
200179,2123.3037
200180,2044.0652
200181,2758.3713
200182,2338.5964
200183,2896.4238
200184,2922.6882
200185,2542.4756
200186,2121.017
200187,1654.3018
200188,1904.4099
200189,2758.3713
200190,2246.5242
200191,2547.852
200192,2933.8616
200193,2122.7036
200194,1987.5967
200195,3055.2466
200196,2664.2664
200197,1558.3007
200198,2071.6194
200199,1665.9849
200200,1346.7638
200201,1928.3942
200202,3053.2043
200203,2897.1926
200204,2786.954
200205,2481.0476
200206,2654.6318
200207,2054.1938
200208,1750.583
200209,2903.523
200210,2786.954
200211,1994.0784
200212,2006.2362
200213,1899.7272
200214,2148.6724
200215,1911.4613
200216,2853.0977
200217,2548.335
200218,3038.0454
200219,2453.304
200220,2687.2124
200221,1915.8763
200222,2181.876
200223,2291.1833
200224,1543.2336
200225,1848.9739
200226,2150.2551
200227,3038.0454
200228,1308.7407
200229,2179.4014
200230,1911.4613
200231,2042.0159
200232,2903.523
200233,1987.5967
200234,1688.6915
200235,2846.2407
200236,2071.6194
200237,2809.59
200238,1559.9158
200239,2006.2362
200240,1906.2089
200241,2056.5657
200242,2926.728
200243,2578.723
200244,1567.99
200245,2806.496
200246,2206.73
200247,2896.4238
200248,1423.0482
200249,1847.1268
200250,2789.3345
200251,1532.5613
200252,1311.1606
200253,1884.8679
200254,2720.1846
200255,1904.4099
200256,2903.523
200257,1693.3394
200258,2816.5845
200259,1947.8518
200260,3148.49
200261,1532.5613
200262,3028.6365
200263,2005.5104
200264,2880.4746
200265,2903.523
200266,1946.0735
200267,1947.8518
200268,2005.5104
200269,1631.433
200270,2804.6477
200271,2229.6807
200272,2071.6194
200273,2136.7908
200274,1291.1361
200275,2806.496
200276,2876.8818
200277,2933.8616
200278,2494.1824
200279,2503.1917
200280,2896.4238
200281,1956.6368
200282,1908.8522
200283,2758.3713
200284,1943.7858
200285,1899.7272
200286,2542.4756
200287,2029.0901
200288,1928.3098
200289,1830.4655
200290,1919.2692
200291,1728.7681
200292,2068.709
200293,1728.7681
200294,1987.5967
200295,2075.2798
200296,2890.2383
200297,1899.7272
200298,2853.0977
200299,1987.5967
200300,1904.4099
200301,2972.3945
200302,2159.817
200303,2101.217
200304,2903.523
200305,2819.829
200306,2203.143
200307,1767.9819
200308,2975.8955
200309,2903.523
200310,1843.34
200311,2903.523
200312,1908.8522
200313,2385.4502
200314,2896.4238
200315,2764.9001
200316,2280.759
200317,1849.1947
200318,2548.335
200319,1928.3098
200320,2354.8997
200321,1602.8612
200322,2465.304
200323,2080.7158
200324,1691.4492
200325,1928.3942
200326,2859.675
200327,2574.8599
200328,2237.3315
200329,1930.7356
200330,2273.0935
200331,2822.4438
200332,1564.6742
200333,2896.4238
200334,1735.8721
200335,2896.4238
200336,2548.335
200337,2986.5417
200338,2831.8306
200339,1928.3098
200340,2470.0447
200341,2847.2383
200342,2767.4966
200343,2903.523
200344,2798.688
200345,1420.8857
200346,2138.5498
200347,1848.9739
200348,2786.954
200349,2629.9104
200350,2016.9547
200351,1969.3336
200352,2330.0476
200353,2903.523
200354,3148.49
200355,1615.6555
200356,2203.143
200357,2210.2422
200358,2876.8818
200359,2777.9133
200360,1913.1755
200361,2385.4502
200362,2548.335
200363,2903.523
200364,1987.5967
200365,2583.882
200366,2311.354
200367,1532.5613
200368,1725.2379
200369,2132.2776
200370,1928.3418
200371,1947.8518
200372,2987.7793
200373,2125.9412
200374,1393.2747
200375,2764.9001
200376,2768.6138
200377,2159.817
200378,2866.8723
200379,2706.8198
200380,1788.9602
200381,1949.1808
200382,1884.8679
200383,1982.6183
200384,2933.8616
200385,2742.6377
200386,2896.4238
200387,1988.0077
200388,1928.3098
200389,2816.5845
200390,1355.2418
200391,2559.8987
200392,1802.0024
200393,2896.4238
200394,2743.2603
200395,1184.1178
200396,2578.723
200397,1989.7374
200398,2203.8008
200399,2542.4756
200400,2850.4294
200401,2903.523
200402,2330.4
200403,2183.601
200404,1644.5968
200405,2067.4312
200406,2504.187
200407,2105.195
200408,3066.6282
200409,1904.4099
200410,2157.615
200411,2896.4238
200412,1494.5852
200413,2806.496
200414,1889.2058
200415,1928.3098
200416,2048.1519
200417,2052.0774
200418,1982.7955
200419,1681.1931
200420,1928.3098
200421,2930.6206
200422,2175.491
200423,3072.161
200424,3122.7554
200425,1567.99
200426,1820.7109
200427,3133.283
200428,2767.3289
200429,2847.2383
200430,2068.709
200431,2770.3389
200432,2806.496
200433,1928.3098
200434,2369.0662
200435,1987.5967
200436,2242.3176
200437,2550.1223
200438,1211.1011
200439,2210.2422
200440,2903.523
200441,2826.8235
200442,2975.8955
200443,1835.6892
200444,2896.4238
200445,2261.3264
200446,1722.2002
200447,1987.5967
200448,1919.2692
200449,2930.2136
200450,1814.6428
200451,2080.7158
200452,2812.3918
200453,1949.1808
200454,2772.7083
200455,2122.4265
200456,2044.0652
200457,2808.3955
200458,1572.5216
200459,2786.954
200460,1949.1808
200461,1928.3942
200462,2741.787
200463,2806.496
200464,2760.7593
200465,2777.9133
200466,2989.0522
200467,1983.7886
200468,2952.7026
200469,1038.2578
200470,2173.4417
200471,1644.5968
200472,1814.9183
200473,2290.3792
200474,2903.523
200475,1722.2002
200476,2396.5261
200477,1928.3098
200478,2908.728
200479,2230.54
200480,2179.4014
200481,2192.6077
200482,2172.4553
200483,1636.2872
200484,2385.4502
200485,2743.5122
200486,1947.8518
200487,2179.4014
200488,2781.7456
200489,2203.143
200490,2144.859
200491,2758.3713
200492,1908.8522
200493,1464.498
200494,1991.082
200495,1806.0695
200496,1665.864
200497,1348.4534
200498,1942.4243
200499,1776.9563
200500,1559.9158
200501,1908.8522
200502,2168.7085
200503,1439.5884
200504,1989.7666
200505,2078.6667
200506,1646.7985
200507,2816.5845
200508,2231.0735
200509,2080.7158
200510,1956.8501
200511,1899.7272
200512,1993.1759
200513,1947.8518
200514,1848.9739
200515,1432.1785
200516,2880.4028
200517,1884.8679
200518,2811.0232
200519,1906.2089
200520,2117.8945
200521,1908.8522
200522,1355.2418
200523,2790.5212
200524,2899.4226
200525,1709.6495
200526,1308.7407
200527,1916.495
200528,2078.6667
200529,2044.0652
200530,1904.4099
200531,1908.8522
200532,2896.4238
200533,1947.8518
200534,2080.7158
200535,1021.7692
200536,2274.4785
200537,2977.701
200538,2998.2979
200539,1856.4072
200540,1833.7867
200541,2984.951
200542,2548.335
200543,2806.496
200544,2267.259
200545,2136.7908
200546,1904.4099
200547,2124.878
200548,2767.4966
200549,1947.8518
200550,2924.2395
200551,1708.2335
200552,2707.618
200553,1316.0664
200554,1950.2322
200555,2360.0603
200556,2767.4966
200557,2112.7356
200558,2092.4343
200559,2183.601
200560,2876.8818
200561,1855.0032
200562,2148.6724
200563,1947.8518
200564,1906.2089
200565,2764.8533
200566,1623.6312
200567,2267.191
200568,1847.1268
200569,1346.7638
200570,2767.3289
200571,2140.275
200572,2244.3052
200573,1985.1366
200574,2105.195
200575,1802.0024
200576,2542.4756
200577,2548.335
200578,2187.672
200579,1332.2124
200580,2088.0068
200581,2896.4238
200582,1851.5692
200583,2336.1106
200584,2845.3381
200585,2786.954
200586,2482.276
200587,2975.8955
200588,2050.084
200589,3017.314
200590,1662.5995
200591,1855.4556
200592,2853.0977
200593,2034.8188
200594,2034.8188
200595,1882.7314
200596,2695.4165
200597,1697.4714
200598,1559.9158
200599,2767.4966
200600,2173.4417
200601,2777.9133
200602,1928.3098
200603,1884.8679
200604,1928.3098
200605,2821.8489
200606,1985.1366
200607,1483.669
200608,2806.496
200609,2903.523
200610,2049.8237
200611,1919.2692
200612,1947.8518
200613,2866.8723
200614,837.27905
200615,2998.2979
200616,2736.7783
200617,2726.3245
200618,2441.3296
200619,1777.088
200620,2764.9001
200621,1461.5249
200622,2078.6667
200623,1908.8522
200624,2962.4023
200625,2639.354
200626,2905.512
200627,2602.693
200628,2758.3713
200629,2030.2817
200630,2514.5112
200631,1941.198
200632,2760.7688
